TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
149,353,2018,3,Family,419,3.5
150,156,2022,9,Solo,34,1.7
151,186,2021,2,Couples,111,2.9
152,411,2022,7,Family,16,1.1
153,55,2018,2,Family,79,1.9
154,41,2021,8,Couples,427,5.0
155,194,2019,5,Couples,293,1.8
156,795,2020,2,Solo,4,3.7
157,579,2023,7,Friends,379,3.0
158,387,2020,5,Solo,155,2.8
159,631,2023,8,Business,408,1.5
160,24,2020,1,Couples,337,4.4
161,164,2020,4,Business,387,2.1
162,122,2022,6,Solo,143,2.8
163,752,2018,11,Solo,118,2.6
164,596,2020,10,Friends,157,1.3
165,944,2018,5,Friends,390,2.9
166,664,2021,12,Business,41,2.2
167,849,2022,4,Couples,372,1.2
168,111,2023,6,Couples,488,3.1
169,859,2023,6,Solo,4,1.1
170,694,2022,5,Couples,387,4.6
171,703,2018,4,Couples,113,3.4
172,925,2018,11,Friends,462,2.2
173,468,2019,12,Business,116,4.5
174,134,2020,12,Solo,270,1.7
175,140,2018,4,Couples,305,4.7
176,262,2022,2,Solo,7,2.1
177,50,2022,6,Friends,297,1.0
178,399,2021,11,Business,245,4.9
179,33,2021,10,Couples,39,1.0
180,229,2021,8,Business,387,2.1
181,153,2020,9,Business,48,2.7
182,244,2023,2,Friends,151,1.1
183,984,2023,10,Solo,331,2.3
184,141,2022,2,Business,227,2.9
185,116,2018,11,Couples,57,2.5
186,24,2019,8,Friends,340,4.1
187,468,2023,9,Solo,426,2.8
188,309,2022,10,Couples,184,1.5
189,871,2020,1,Family,212,1.9
190,608,2021,8,Business,216,2.4
191,598,2020,6,Family,470,1.0
192,578,2019,6,Couples,112,3.9
193,414,2023,5,Friends,281,3.0
194,828,2019,9,Couples,366,3.0
195,141,2020,8,Business,338,5.0
196,699,2020,5,Family,224,3.9
197,675,2020,3,Family,364,4.6
198,352,2021,9,Couples,258,4.2
199,533,2018,9,Friends,250,4.0
200,140,2023,10,Family,348,1.8
201,467,2022,7,Family,475,5.0
202,10,2020,4,Business,344,2.2
203,181,2019,3,Friends,43,1.3
204,659,2022,9,Solo,500,2.9
205,701,2020,10,Family,299,4.9
206,480,2018,5,Business,155,4.7
207,816,2020,12,Solo,158,2.8
208,23,2020,8,Friends,247,1.8
209,16,2018,3,Friends,99,1.0
210,46,2021,7,Couples,489,1.1
211,796,2019,9,Friends,130,4.1
212,420,2023,4,Couples,256,1.1
213,430,2020,4,Family,135,2.5
214,383,2020,4,Business,226,3.0
215,837,2018,11,Couples,489,3.4
216,549,2023,12,Solo,294,3.3
217,372,2020,3,Couples,492,4.4
218,429,2023,11,Business,407,4.4
219,12,2023,10,Couples,392,2.4
220,886,2022,6,Solo,125,4.0
221,844,2020,10,Friends,186,2.2
222,268,2019,1,Family,235,1.6
223,761,2023,11,Business,495,1.1
224,604,2019,8,Solo,9,1.7
225,726,2023,8,Solo,387,2.0
226,951,2021,6,Solo,466,2.6
227,933,2022,7,Friends,401,1.7
228,929,2023,1,Family,238,4.9
229,886,2023,7,Friends,334,1.6
230,931,2018,1,Couples,391,4.0
231,830,2020,1,Couples,270,1.1
232,480,2023,3,Business,131,2.5
233,452,2022,9,Family,276,1.4
234,953,2022,1,Couples,50,4.5
235,858,2020,11,Solo,63,3.1
236,889,2021,11,Business,177,1.5
237,68,2018,2,Family,190,3.8
238,17,2019,10,Solo,13,2.2
239,111,2018,1,Friends,292,2.5
240,643,2022,3,Couples,17,4.0
241,772,2023,9,Business,222,1.7
242,565,2021,3,Couples,483,3.5
243,372,2019,11,Friends,9,3.7
244,161,2022,2,Family,430,1.4
245,516,2022,10,Solo,343,5.0
246,832,2021,11,Business,88,4.1
247,843,2020,8,Couples,412,4.7
248,719,2022,10,Couples,286,3.2
249,116,2020,3,Solo,200,1.3
250,841,2022,7,Business,497,1.7
251,470,2022,11,Solo,65,3.5
252,769,2020,12,Friends,333,1.4
253,432,2020,10,Solo,202,1.3
254,801,2022,6,Solo,332,2.4
255,395,2022,8,Friends,200,1.4
256,395,2022,7,Friends,147,4.5
257,847,2019,5,Solo,332,4.0
258,583,2018,2,Couples,71,2.3
259,587,2021,8,Friends,293,1.0
260,69,2022,1,Friends,94,2.6
261,662,2021,2,Friends,356,4.9
262,38,2021,4,Solo,186,4.7
263,154,2020,9,Business,487,4.6
264,667,2019,1,Friends,395,2.3
265,282,2021,4,Family,192,2.2
266,831,2022,7,Solo,132,2.5
267,709,2020,9,Solo,488,4.8
268,26,2022,6,Solo,223,1.3
269,241,2022,8,Business,65,2.2
270,725,2019,8,Business,334,3.5
271,121,2023,2,Family,46,3.0
272,385,2020,5,Solo,33,4.1
273,976,2021,11,Solo,127,2.9
274,181,2021,9,Business,26,3.8
275,457,2023,11,Solo,431,4.9
276,26,2018,8,Family,397,3.8
277,723,2020,10,Solo,56,2.3
278,283,2021,2,Family,31,2.0
279,509,2023,4,Family,342,2.2
280,210,2020,9,Family,73,4.9
281,376,2022,4,Solo,29,2.2
282,354,2019,6,Friends,89,4.2
283,432,2018,12,Business,412,3.5
284,254,2021,5,Family,378,4.6
285,933,2021,10,Friends,206,1.4
286,173,2022,4,Family,142,4.1
287,521,2022,2,Friends,365,3.3
288,637,2019,2,Solo,399,2.3
289,49,2022,12,Couples,378,4.8
290,806,2023,2,Friends,411,2.9
291,572,2020,12,Family,347,3.0
292,776,2019,3,Solo,329,2.3
293,292,2021,6,Solo,121,3.8
294,241,2021,12,Business,319,2.0
295,36,2018,12,Business,105,3.9
296,351,2018,9,Friends,224,2.2
297,538,2022,8,Friends,104,1.6
298,866,2021,6,Couples,296,3.0
299,90,2023,3,Friends,297,3.2
300,532,2020,6,Business,12,3.0
301,496,2023,5,Solo,493,1.0
302,322,2023,3,Family,474,4.6
303,598,2020,8,Solo,234,1.5
304,388,2018,11,Business,260,2.7
305,375,2022,10,Business,3,1.2
306,895,2019,11,Business,412,4.6
307,402,2021,5,Business,23,1.1
308,85,2019,5,Friends,480,1.7
309,142,2021,10,Family,95,3.2
310,866,2019,11,Solo,459,4.5
311,218,2019,4,Business,38,3.1
312,623,2021,7,Couples,122,3.7
313,236,2022,8,Solo,293,4.1
314,82,2018,2,Couples,198,4.8
315,49,2020,4,Friends,317,1.1
316,19,2018,4,Friends,352,1.9
317,95,2023,8,Business,28,2.1
318,559,2020,12,Friends,276,1.6
319,56,2020,9,Friends,273,4.9
320,821,2018,3,Couples,139,4.6
321,839,2018,3,Couples,60,3.6
322,871,2018,4,Couples,249,2.5
323,639,2020,5,Friends,270,1.8
324,347,2019,7,Solo,291,3.5
325,705,2018,1,Family,253,4.2
326,212,2022,1,Family,260,3.9
327,985,2018,4,Solo,70,3.3
328,371,2022,7,Friends,95,1.6
329,427,2022,6,Family,168,1.5
330,917,2019,10,Friends,77,2.7
331,67,2020,5,Solo,461,3.6
332,64,2019,2,Friends,463,3.0
333,73,2021,9,Friends,197,1.6
334,139,2019,9,Business,489,1.6
335,553,2020,2,Friends,165,1.3
336,691,2023,12,Family,292,3.8
337,788,2021,5,Couples,281,2.9
338,85,2020,6,Couples,469,1.2
339,175,2021,6,Family,241,2.9
340,230,2018,3,Business,173,1.3
341,95,2018,3,Solo,378,3.7
342,739,2019,2,Friends,334,3.3
343,502,2020,5,Friends,446,2.3
344,97,2023,10,Solo,338,3.1
345,646,2021,6,Solo,385,4.4
346,46,2021,11,Business,95,3.6
347,166,2018,1,Couples,362,4.0
348,609,2022,10,Couples,319,4.2
349,946,2020,5,Family,272,4.1
350,561,2023,9,Family,157,3.8
351,294,2022,9,Family,327,1.9
352,534,2022,8,Solo,270,1.6
353,896,2019,2,Solo,102,2.5
354,47,2021,4,Friends,11,3.1
355,829,2023,10,Family,355,4.9
356,185,2021,7,Family,193,4.2
357,478,2020,1,Solo,434,4.7
358,374,2018,7,Friends,355,3.7
359,375,2019,5,Family,481,4.6
360,493,2023,10,Couples,297,2.9
361,830,2018,12,Family,208,1.6
362,685,2020,7,Couples,333,1.5
363,274,2023,11,Solo,368,4.6
364,174,2021,12,Couples,452,2.9
365,304,2020,4,Friends,48,3.9
366,324,2023,4,Family,365,4.2
367,93,2019,7,Family,38,1.8
368,73,2021,10,Solo,194,1.4
369,554,2019,11,Couples,189,3.1
370,304,2018,5,Solo,433,1.3
371,695,2018,10,Family,428,4.7
372,847,2021,5,Friends,295,2.6
373,105,2021,11,Family,210,4.4
374,157,2023,6,Solo,451,2.3
375,245,2022,11,Business,86,1.3
376,657,2021,4,Family,274,4.0
377,642,2023,5,Family,224,3.5
378,12,2021,11,Business,287,2.0
379,886,2018,5,Couples,493,4.6
380,456,2019,12,Family,441,2.0
381,472,2021,3,Friends,463,2.7
382,191,2021,3,Business,346,2.0
383,527,2019,1,Couples,163,4.5
384,857,2021,7,Solo,203,4.4
385,115,2018,11,Business,196,2.6
386,653,2023,11,Family,181,4.9
387,687,2021,7,Couples,421,1.3
388,935,2018,12,Family,411,1.8
389,177,2023,10,Solo,39,2.4
390,791,2022,9,Family,220,3.4
391,694,2019,4,Couples,199,2.3
392,970,2023,11,Friends,282,1.4
393,269,2018,11,Family,197,1.9
394,975,2019,3,Family,306,1.6
395,888,2023,6,Friends,223,3.7
396,42,2022,3,Solo,461,3.8
397,357,2019,5,Business,466,1.5
398,254,2022,2,Family,37,1.5
399,305,2020,5,Friends,433,4.2
400,864,2019,3,Friends,25,4.1
401,614,2021,7,Business,489,1.4
402,211,2022,5,Business,482,4.6
403,815,2018,3,Couples,364,3.7
404,359,2023,4,Business,480,3.2
405,958,2023,10,Friends,209,3.7
406,680,2019,7,Family,333,1.3
407,384,2023,10,Couples,431,3.0
408,80,2019,2,Couples,215,3.3
409,253,2019,10,Family,201,3.5
410,245,2022,9,Friends,250,2.2
411,367,2021,8,Friends,424,3.5
412,368,2019,3,Solo,401,3.5
413,623,2021,12,Solo,80,4.1
414,601,2018,8,Couples,301,3.4
415,544,2021,2,Solo,367,4.7
416,896,2020,7,Friends,55,1.2
417,196,2019,9,Solo,332,2.7
418,518,2023,6,Business,203,4.9
419,556,2019,5,Couples,430,2.9
420,557,2020,6,Family,460,4.2
421,951,2020,11,Couples,465,2.9
422,948,2021,4,Couples,86,1.5
423,373,2022,4,Solo,245,1.1
424,181,2020,4,Friends,101,3.5
425,526,2021,10,Couples,412,1.9
426,998,2019,4,Solo,141,1.1
427,253,2019,9,Friends,329,2.2
428,104,2021,2,Couples,473,3.4
429,749,2022,11,Friends,379,3.6
430,651,2022,9,Friends,284,2.7
431,884,2022,1,Solo,39,2.8
432,655,2020,12,Friends,230,4.3
433,996,2022,1,Solo,270,2.0
434,880,2020,5,Friends,203,3.1
435,526,2021,5,Friends,50,3.1
436,746,2020,7,Business,479,3.1
437,986,2018,6,Family,130,1.5
438,770,2020,12,Business,320,3.0
439,882,2019,4,Family,118,4.6
440,843,2022,5,Business,79,4.0
441,399,2018,2,Business,15,1.1
442,264,2022,10,Family,471,2.9
443,802,2019,6,Solo,260,3.4
444,974,2020,1,Couples,296,2.9
445,221,2021,10,Couples,45,2.2
446,115,2022,5,Business,226,3.2
447,478,2019,8,Business,127,4.9
448,846,2020,6,Business,320,4.1
449,970,2022,3,Couples,406,3.9
450,587,2020,3,Couples,68,2.5
451,811,2022,7,Couples,93,3.7
452,365,2018,2,Family,195,4.0
453,118,2020,9,Family,233,4.8
454,872,2021,2,Family,331,3.5
455,158,2022,8,Friends,473,4.1
456,610,2020,1,Couples,195,3.3
457,73,2020,6,Family,321,3.9
458,83,2021,5,Solo,455,3.1
459,547,2019,6,Couples,161,3.3
460,797,2019,1,Family,180,2.4
461,21,2023,3,Couples,309,4.2
462,91,2021,2,Couples,461,1.1
463,360,2023,6,Solo,20,1.2
464,841,2021,10,Couples,359,2.2
465,983,2019,9,Family,273,3.9
466,759,2019,8,Friends,384,2.0
467,362,2021,10,Family,197,4.8
468,482,2018,3,Friends,241,4.2
469,496,2023,5,Business,282,1.5
470,417,2020,8,Friends,152,1.3
471,704,2022,2,Solo,37,2.0
472,913,2020,3,Business,143,1.2
473,867,2021,4,Friends,168,3.9
474,69,2020,6,Business,333,2.3
475,954,2021,5,Business,337,1.9
476,537,2021,12,Couples,423,3.0
477,634,2022,4,Business,101,2.6
478,873,2023,4,Family,480,3.3
479,175,2019,6,Couples,339,2.3
480,778,2022,12,Business,131,2.0
481,874,2019,9,Family,107,3.7
482,465,2018,2,Business,250,3.2
483,642,2021,5,Friends,52,1.8
484,913,2018,2,Couples,127,3.3
485,102,2018,10,Friends,41,3.6
486,758,2023,8,Business,24,1.7
487,825,2021,11,Friends,113,3.1
488,222,2023,2,Business,380,2.5
489,146,2019,11,Couples,408,2.9
490,731,2021,6,Business,433,3.4
491,797,2022,11,Solo,471,1.3
492,52,2020,6,Couples,389,3.8
493,323,2022,11,Couples,414,3.6
494,525,2019,11,Family,465,1.0
495,989,2019,10,Friends,378,3.1
496,631,2018,8,Business,238,2.9
497,202,2021,6,Family,30,4.3
498,680,2019,4,Family,110,2.6
499,837,2020,1,Friends,457,2.0
500,57,2021,7,Business,243,4.2
501,899,2022,3,Friends,91,1.1
502,918,2021,11,Couples,361,4.0
503,273,2019,5,Business,57,2.2
504,637,2023,9,Business,52,4.8
505,467,2023,2,Couples,403,1.5
506,444,2022,4,Couples,64,3.3
507,920,2022,9,Couples,272,4.6
508,414,2022,7,Friends,107,3.1
509,903,2020,6,Friends,395,4.3
510,204,2019,2,Business,435,2.9
511,708,2020,8,Couples,334,3.6
512,490,2023,2,Couples,31,1.5
513,24,2019,6,Solo,50,2.0
514,757,2021,8,Couples,283,1.8
515,153,2021,4,Solo,394,2.8
516,274,2018,6,Friends,493,2.3
517,429,2018,2,Solo,301,2.7
518,251,2022,8,Family,358,1.3
519,323,2021,8,Business,360,2.8
520,425,2020,5,Business,91,3.7
521,666,2020,10,Family,369,2.1
522,398,2018,7,Business,214,4.3
523,982,2018,5,Friends,426,3.0
524,718,2022,3,Couples,248,2.0
525,70,2022,11,Business,282,2.0
526,114,2018,5,Business,5,2.9
527,679,2019,6,Business,260,2.2
528,280,2020,5,Couples,205,4.7
529,545,2023,10,Family,92,4.6
530,379,2021,11,Solo,138,2.5
531,782,2023,7,Couples,182,1.1
532,784,2018,8,Solo,240,2.0
533,81,2023,9,Business,377,2.7
534,630,2018,5,Family,176,1.9
535,191,2022,9,Family,179,4.3
536,492,2019,12,Solo,253,1.6
537,31,2019,10,Couples,16,4.7
538,376,2020,5,Couples,351,1.8
539,273,2023,8,Friends,430,1.1
540,162,2023,7,Couples,286,3.6
541,628,2023,5,Couples,286,1.0
542,830,2020,7,Friends,461,1.7
543,211,2020,3,Friends,488,2.7
544,243,2023,8,Friends,440,1.4
545,6,2022,5,Friends,287,3.2
546,447,2019,1,Friends,109,2.7
547,242,2018,4,Business,457,3.5
548,926,2022,2,Business,294,3.6
549,245,2020,6,Couples,259,3.6
550,421,2021,3,Couples,279,3.1
551,161,2020,10,Friends,58,2.5
552,781,2018,7,Family,490,1.6
553,145,2021,1,Solo,484,4.1
554,108,2018,10,Friends,39,3.2
555,985,2021,6,Solo,391,1.3
556,390,2023,1,Couples,308,1.7
557,874,2023,4,Solo,409,4.6
558,868,2021,1,Solo,466,3.4
559,10,2021,6,Friends,134,2.7
560,113,2019,7,Solo,183,4.1
561,180,2023,1,Family,355,2.1
562,259,2021,3,Couples,413,4.7
563,925,2023,10,Friends,382,3.8
564,772,2023,11,Solo,245,4.5
565,656,2021,2,Solo,227,3.0
566,589,2019,2,Couples,263,1.9
567,652,2018,2,Business,123,3.2
568,79,2023,6,Solo,166,3.1
569,767,2020,5,Friends,202,2.0
570,332,2021,1,Family,336,3.1
571,39,2019,7,Friends,233,2.2
572,376,2020,7,Solo,76,1.2
573,532,2023,11,Family,451,3.9
574,854,2019,8,Friends,121,1.5
575,778,2023,1,Family,138,1.1
576,38,2022,6,Business,222,4.6
577,695,2021,10,Business,452,1.6
578,8,2018,9,Business,366,1.5
579,311,2023,12,Family,358,2.4
580,723,2019,2,Solo,108,2.2
581,195,2021,6,Couples,70,2.1
582,684,2018,5,Business,174,2.5
583,737,2019,4,Couples,369,3.2
584,77,2022,7,Family,287,1.3
585,131,2020,9,Friends,71,3.4
586,876,2019,2,Couples,368,3.7
587,724,2021,2,Solo,490,3.9
588,75,2021,11,Solo,119,4.8
589,717,2020,4,Family,454,2.6
590,458,2023,11,Solo,499,4.9
591,413,2019,8,Business,90,4.6
592,482,2020,1,Business,273,2.3
593,750,2019,6,Family,8,3.2
594,881,2019,11,Solo,50,4.0
595,59,2023,4,Friends,347,4.3
596,22,2018,1,Family,156,2.8
597,267,2022,7,Friends,248,3.7
598,825,2023,9,Business,447,4.0
599,856,2023,1,Solo,33,1.5
600,902,2019,5,Friends,199,3.1
601,690,2018,10,Business,446,1.9
602,570,2023,4,Solo,96,1.3
603,484,2023,10,Couples,108,2.6
604,590,2020,7,Family,83,3.9
605,712,2023,5,Business,300,4.4
606,820,2018,5,Family,477,4.7
607,536,2023,6,Family,367,1.1
608,231,2023,12,Couples,208,3.7
609,187,2022,6,Friends,412,1.5
610,72,2023,3,Business,17,2.4
611,427,2018,3,Couples,435,4.9
612,689,2018,6,Family,170,1.1
613,386,2022,8,Business,348,3.9
614,547,2021,4,Friends,318,1.5
615,838,2021,4,Family,56,3.3
616,138,2023,12,Couples,114,1.1
617,58,2022,11,Family,8,2.1
618,233,2018,7,Couples,172,4.1
619,117,2023,12,Friends,46,2.1
620,110,2021,6,Couples,423,2.5
621,609,2019,10,Solo,439,2.5
622,437,2020,11,Solo,242,2.5
623,574,2019,4,Solo,233,2.7
624,867,2020,10,Couples,30,2.8
625,751,2021,10,Friends,288,4.1
626,151,2023,4,Friends,404,3.9
627,240,2023,2,Solo,437,2.2
628,457,2019,11,Solo,440,2.4
629,218,2020,1,Business,235,1.2
630,386,2021,6,Family,334,4.9
631,556,2023,8,Couples,27,1.6
632,763,2022,1,Family,438,4.4
633,146,2022,3,Family,34,4.8
634,835,2019,10,Solo,48,4.6
635,907,2019,10,Couples,447,4.5
636,477,2021,3,Family,414,1.0
637,420,2018,6,Solo,275,1.9
638,49,2019,7,Solo,170,3.5
639,817,2023,2,Friends,315,2.4
640,118,2019,8,Family,100,3.0
641,64,2023,12,Solo,397,3.1
642,97,2021,9,Business,75,3.9
643,85,2019,2,Couples,487,4.0
644,913,2020,7,Friends,470,4.8
645,807,2023,6,Solo,212,1.7
646,357,2022,2,Friends,149,4.2
647,235,2021,11,Family,374,3.7
648,995,2019,2,Solo,293,5.0
649,545,2019,9,Friends,101,2.5
650,273,2020,4,Couples,85,4.4
651,802,2018,2,Business,74,2.3
652,393,2018,9,Business,359,4.9
653,8,2023,7,Friends,114,2.5
654,955,2022,11,Couples,423,4.1
655,949,2021,4,Business,159,4.3
656,536,2022,9,Couples,169,4.5
657,812,2020,12,Solo,141,1.6
658,623,2021,4,Couples,30,4.8
659,743,2018,2,Business,112,4.2
660,414,2021,7,Solo,292,4.8
661,611,2018,5,Friends,39,1.9
662,215,2022,11,Friends,33,3.7
663,82,2021,9,Family,143,4.2
664,16,2023,1,Couples,452,2.1
665,332,2023,11,Family,250,1.5
666,452,2022,3,Family,426,2.1
667,780,2022,11,Couples,83,1.8
668,829,2018,11,Business,210,4.7
669,828,2019,6,Business,431,4.5
670,7,2021,2,Solo,186,2.6
671,298,2023,6,Family,412,1.1
672,698,2018,3,Friends,346,4.1
673,49,2023,5,Family,215,3.0
674,981,2019,12,Solo,500,3.9
675,276,2018,1,Business,161,3.5
676,841,2019,10,Solo,170,3.3
677,612,2023,6,Couples,437,1.6
678,230,2023,10,Business,183,1.7
679,78,2022,11,Couples,297,3.4
680,766,2018,4,Solo,243,1.2
681,956,2021,4,Business,436,3.0
682,541,2021,11,Friends,243,2.8
683,606,2019,1,Couples,12,2.2
684,579,2021,1,Family,217,3.7
685,999,2020,5,Solo,27,3.3
686,661,2021,3,Solo,81,2.7
687,699,2019,1,Family,7,4.2
688,224,2020,5,Business,28,1.6
689,562,2023,10,Business,232,2.0
690,93,2019,2,Business,62,1.3
691,132,2019,1,Business,231,1.8
692,509,2019,12,Friends,380,2.2
693,48,2018,6,Family,184,1.2
694,75,2021,8,Solo,409,3.9
695,692,2021,8,Couples,96,3.1
696,633,2022,8,Couples,426,1.1
697,855,2019,6,Business,90,2.8
698,870,2018,7,Solo,440,2.9
699,460,2023,2,Family,359,3.0
700,260,2021,10,Family,338,1.4
701,503,2022,5,Business,11,4.0
702,478,2022,4,Family,283,4.8
703,683,2021,6,Friends,436,2.3
704,627,2021,10,Friends,267,1.9
705,241,2019,1,Friends,365,2.3
706,53,2023,8,Couples,15,4.3
707,273,2021,8,Business,492,2.1
708,185,2023,6,Couples,127,1.2
709,579,2021,8,Business,449,2.0
710,122,2023,9,Family,60,1.3
711,486,2021,9,Business,269,2.4
712,835,2021,10,Couples,43,4.6
713,417,2022,12,Solo,193,1.5
714,434,2022,7,Solo,443,4.4
715,996,2020,11,Family,86,1.9
716,950,2019,11,Couples,320,5.0
717,656,2023,7,Business,424,3.5
718,80,2020,11,Family,219,3.6
719,143,2018,12,Friends,454,1.9
720,866,2018,8,Family,448,1.4
721,382,2018,5,Couples,302,2.0
722,275,2020,11,Friends,367,3.1
723,183,2018,12,Friends,235,1.2
724,396,2019,9,Couples,379,5.0
725,510,2023,9,Couples,59,4.7
726,284,2021,4,Friends,77,4.1
727,186,2018,8,Friends,227,4.8
728,712,2023,11,Business,431,3.7
729,391,2020,12,Solo,5,2.5
730,900,2023,1,Couples,70,4.7
731,505,2019,12,Solo,229,2.0
732,697,2019,3,Friends,184,3.8
733,179,2018,7,Couples,8,5.0
734,68,2020,5,Friends,209,1.2
735,878,2023,8,Couples,24,4.5
736,327,2022,5,Business,348,2.1
737,528,2020,1,Couples,378,2.5
738,578,2023,11,Friends,329,1.3
739,769,2023,11,Solo,123,4.3
740,22,2021,3,Friends,290,1.8
741,506,2018,2,Family,307,2.7
742,185,2022,12,Solo,26,2.9
743,92,2020,2,Friends,468,3.7
744,885,2021,9,Business,65,3.2
745,354,2023,8,Family,400,1.2
746,881,2018,8,Friends,255,1.2
747,766,2019,3,Couples,457,1.2
